Genre
2 tone
2-step
abstract hip hop
acid breaks
acid house
acid jazz
acid rock
acid techno
acid trance
acidcore
acousmatic
acoustic blues
acoustic chicago blues
acoustic rock
acoustic texas blues
afoxê
african blues
afro house
afro rock
afro trap
afro-cuban jazz
afro-funk
afro-jazz
afro-zouk
afrobeat
afrobeats
afropiano
afroswing
aggrotech
aita
akishibu-kei
al jeel
algerian chaabi
algorave
alpenrock
alternative country
alternative dance
alternative folk
alternative hip hop
alternative metal
alternative pop
alternative punk
alternative r&b
alternative rock
alté
amapiano
ambient
ambient americana
ambient dub
ambient house
ambient noise wall
ambient pop
ambient techno
ambient trance
american primitive guitar
americana
anarcho-punk
anatolian rock
andalusian classical
animal sounds
anti-folk
aor
appalachian folk
aquacrunk
arabesk
arena rock
arrocha funk
ars antiqua
ars nova
ars subtilior
art pop
art punk
art rock
art song
artcore
asian rock
asmr
assiko
atmospheric black metal
atmospheric drum and bass
atmospheric sludge metal
audio drama
avant-folk
avant-garde
avant-garde jazz
avant-garde metal
avant-garde pop
avant-prog
avtorskaya pesnya
axé
bachata
baithak gana
baião
bakersfield sound
balearic beat
balearic trance
balinese gamelan
ballad
ballet
ballroom house
baltimore club
banda sinaloense
bandari
bandinha
banga
barber beats
barbershop
bardcore
baroque
baroque pop
bass house
bassline
batida
batidão romântico
battle rap
batucada
beach music
beat music
beat poetry
beatboxing
beatdown hardcore
bebop
bedroom pop
beijing opera
belgian techno
benga
berlin school
bhajan
bhangra
bhavageethe
big band
big beat
big room house
big room trance
biguine
binaural beats
birdsong
birmingham sound
bit music
bitpop
black 'n' roll
black ambient
black metal
black midi
black noise
blackened crust
blackened death metal
blackgaze
bleep techno
blue-eyed soul
bluegrass
bluegrass gospel
blues
blues rock
bolero
bolero son
bolero-beat
bomba
bomba del chota
bongo flava
boogaloo
boogie
boogie rock
boogie-woogie
boom bap
bossa nova
bounce
bouncy techno
brass band
brazilian bass
brazilian phonk
breakbeat
breakbeat hardcore
breakcore
breaks
breakstep
brega
brega calypso
brega funk
briddim
brill building
brit funk
britcore
british blues
british brass band
british folk rock
british rhythm & blues
britpop
bro-country
broken beat
broken transmission
brostep
brutal death metal
brutal prog
bubblegum bass
bubblegum dance
bubblegum pop
bubbling
bubbling house
burger-highlife
burmese classical
burmese mono
burmese stereo
burning spirits
byzantine chant
c-pop
c86
cabaret
cabo zouk
cadence lypso
cajun
cakewalk
calypso
campursari
campus folk
canción melódica
candombe
candombe beat
cantata
cante alentejano
canterbury scene
cantonese opera
cantopop
cantoria
cantu a tenore
canzone d'autore
canzone napoletana
cape breton fiddling
cape jazz
carimbó
carnatic classical
carnavalito
carranga
celtic
celtic chant
celtic electronica
celtic metal
celtic new age
celtic punk
celtic rock
central asian throat singing
chacarera
chachachá
chalga
chamamé
